Client;Instantiation name;Phishing trick name;Source EML File;Evaluation Screenshots Path;Infos;Type of assistance;Interaction required to get complete and correct info;Crititcallity;Critically-code;Type of technique
Android_Gmail;3.7.2_Link_Missmatch_Circumvention;7. Link Mismatch;3.7.2_Link_Missmatch_Circumvention.eml;7.2 Circumventing Mitigation Techniques;both;none;yes_misleading-first;4;both.none.yes_misleading-first;Link
Android_Outlook;3.7.2_Link_Missmatch_Circumvention;7. Link Mismatch;3.7.2_Link_Missmatch_Circumvention.eml;7.2 Circumventing Mitigation Techniques;both;none;yes_misleading-first;4;both.none.yes_misleading-first;Link
Android_Proton;3.7.2_Link_Missmatch_Circumvention;7. Link Mismatch;3.7.2_Link_Missmatch_Circumvention.eml;7.2 Circumventing Mitigation Techniques;both;none;yes_misleading-first;4;both.none.yes_misleading-first;Link
Android_SamsungMail;3.7.2_Link_Missmatch_Circumvention;7. Link Mismatch;3.7.2_Link_Missmatch_Circumvention.eml;7.2 Circumventing Mitigation Techniques;both;none;yes_misleading-first;4;both.none.yes_misleading-first;Link
iOS_AppleMail;3.7.2_Link_Missmatch_Circumvention;7. Link Mismatch;3.7.2_Link_Missmatch_Circumvention.eml;7.2 Circumventing Mitigation Techniques;misleading;none;no;4;misleading.none.no;Link
iOS_Gmail;3.7.2_Link_Missmatch_Circumvention;7. Link Mismatch;3.7.2_Link_Missmatch_Circumvention.eml;7.2 Circumventing Mitigation Techniques;misleading;none;no;4;misleading.none.no;Link
iOS_Outlook;3.7.2_Link_Missmatch_Circumvention;7. Link Mismatch;3.7.2_Link_Missmatch_Circumvention.eml;7.2 Circumventing Mitigation Techniques;misleading;none;no;4;misleading.none.no;Link
iOS_Proton;3.7.2_Link_Missmatch_Circumvention;7. Link Mismatch;3.7.2_Link_Missmatch_Circumvention.eml;7.2 Circumventing Mitigation Techniques;both;none;yes_misleading-first;4;both.none.yes_misleading-first;Link
Android_Gmail;3.7.1_Link_Missmatch_URL;7. Link Mismatch;3.7.1_Link_Missmatch_URL.eml;7.1 Using URL as Link Text;both;none;yes_misleading-first;4;both.none.yes_misleading-first;Link
Android_Outlook;3.7.1_Link_Missmatch_URL;7. Link Mismatch;3.7.1_Link_Missmatch_URL.eml;7.1 Using URL as Link Text;both;none;yes_misleading-first;4;both.none.yes_misleading-first;Link
Android_Proton;3.7.1_Link_Missmatch_URL;7. Link Mismatch;3.7.1_Link_Missmatch_URL.eml;7.1 Using URL as Link Text;both;none;yes_misleading-first;4;both.none.yes_misleading-first;Link
